DATE,RRACE,sum,count,mean
2020-04-23,1,15147,15582,0.9720831728917982
2020-04-23,2,2119,2296,0.9229094076655052
2020-04-23,3,1034,1052,0.9828897338403042
2020-04-23,4,1104,1165,0.9476394849785408
2020-05-04,1,24602,25224,0.9753409451316207
2020-05-04,2,3037,3249,0.9347491535857186
2020-05-04,3,1944,1970,0.9868020304568528
2020-05-04,4,1672,1763,0.9483834373227453
2020-05-07,1,7836,8039,0.9747481029978853
2020-05-07,2,1029,1109,0.9278629395852119
2020-05-07,3,633,642,0.985981308411215
2020-05-07,4,501,527,0.9506641366223909
2020-05-21,1,18125,18629,0.9729454076976757
2020-05-21,2,2026,2194,0.9234275296262534
2020-05-21,3,1265,1286,0.9836702954898912
2020-05-21,4,1181,1256,0.9402866242038217
2020-05-28,1,18248,18793,0.9709998403660938
2020-05-28,2,2362,2536,0.9313880126182965
2020-05-28,3,1298,1319,0.9840788476118272
2020-05-28,4,1332,1428,0.9327731092436975
2020-06-04,1,14548,14964,0.9721999465383587
2020-06-04,2,1825,1963,0.9296994396332144
2020-06-04,3,993,1003,0.9900299102691924
2020-06-04,4,1019,1087,0.937442502299908
2020-06-11,1,13278,13640,0.9734604105571848
2020-06-11,2,1774,1897,0.9351607801792303
2020-06-11,3,964,972,0.9917695473251029
2020-06-11,4,958,1016,0.9429133858267716
2020-06-18,1,20351,21011,0.9685878825377183
2020-06-18,2,2561,2764,0.9265557163531114
2020-06-18,3,1485,1513,0.9814937210839392
2020-06-18,4,1567,1668,0.9394484412470024
2020-06-25,1,18076,18723,0.9654435720771244
2020-06-25,2,2468,2696,0.9154302670623146
2020-06-25,3,1206,1240,0.9725806451612903
2020-06-25,4,1349,1455,0.9271477663230241
2020-07-02,1,16584,17196,0.9644103279832519
2020-07-02,2,2062,2229,0.9250785105428443
2020-07-02,3,1161,1186,0.978920741989882
2020-07-02,4,1207,1318,0.9157814871016692
2020-07-09,1,17036,17689,0.9630844027361637
2020-07-09,2,2198,2382,0.9227539882451721
2020-07-09,3,1099,1124,0.9777580071174378
2020-07-09,4,1208,1325,0.9116981132075471
2020-07-16,1,16017,16624,0.9634865255052936
2020-07-16,2,2003,2181,0.9183860614397066
2020-07-16,3,1092,1115,0.979372197309417
2020-07-16,4,1187,1304,0.9102760736196319
2020-08-19,1,18176,18632,0.9755259768140833
2020-08-19,2,2016,2114,0.9536423841059603
2020-08-19,3,1470,1485,0.98989898989899
2020-08-19,4,1283,1344,0.9546130952380952
2020-09-02,1,18406,18767,0.9807641072094634
2020-09-02,2,2111,2182,0.967461044912924
2020-09-02,3,1490,1512,0.9854497354497355
2020-09-02,4,1381,1431,0.9650593990216632
2020-09-16,1,16856,17136,0.9836601307189542
2020-09-16,2,1905,1953,0.9754224270353302
2020-09-16,3,1346,1360,0.9897058823529412
2020-09-16,4,1261,1306,0.9655436447166922
2020-09-30,1,16047,16259,0.9869610677163417
2020-09-30,2,1745,1792,0.9737723214285714
2020-09-30,3,1221,1226,0.9959216965742251
2020-09-30,4,1212,1244,0.9742765273311897
2020-10-14,1,15092,15318,0.9852461156808983
2020-10-14,2,1568,1610,0.9739130434782609
2020-10-14,3,1131,1138,0.9938488576449912
2020-10-14,4,1128,1165,0.9682403433476395
2020-10-28,1,9642,9792,0.9846813725490197
2020-10-28,2,961,982,0.9786150712830958
2020-10-28,3,650,650,1.0
2020-10-28,4,666,682,0.9765395894428153
2020-11-11,1,12148,12342,0.984281315832118
2020-11-11,2,1216,1249,0.9735788630904724
2020-11-11,3,868,874,0.9931350114416476
2020-11-11,4,877,916,0.9574235807860262
2020-11-25,1,12312,12508,0.9843300287815798
2020-11-25,2,1264,1295,0.976061776061776
2020-11-25,3,797,803,0.9925280199252802
2020-11-25,4,858,885,0.9694915254237289
2020-12-09,1,11751,11914,0.9863186167533994
2020-12-09,2,1175,1196,0.9824414715719063
2020-12-09,3,836,841,0.9940546967895363
2020-12-09,4,838,856,0.9789719626168224
2021-01-06,1,10835,10992,0.985716885007278
2021-01-06,2,1037,1058,0.9801512287334594
2021-01-06,3,884,891,0.9921436588103255
2021-01-06,4,795,823,0.9659781287970839
2021-01-20,1,12366,12514,0.9881732459645197
2021-01-20,2,1331,1350,0.9859259259259259
2021-01-20,3,937,946,0.9904862579281184
2021-01-20,4,921,937,0.9829242262540021
2021-02-03,1,11355,11489,0.9883366698581252
2021-02-03,2,1247,1263,0.9873317498020586
2021-02-03,3,869,873,0.995418098510882
2021-02-03,4,800,829,0.9650180940892642
2021-02-17,1,11211,11362,0.9867100862524203
2021-02-17,2,1268,1300,0.9753846153846154
2021-02-17,3,951,958,0.9926931106471816
2021-02-17,4,832,860,0.9674418604651163
2021-03-03,1,11018,11166,0.9867454773419309
2021-03-03,2,1202,1223,0.9828291087489779
2021-03-03,3,876,880,0.9954545454545455
2021-03-03,4,786,817,0.9620563035495716
2021-03-17,1,10932,11074,0.9871771717536573
2021-03-17,2,1130,1149,0.9834638816362054
2021-03-17,3,907,916,0.990174672489083
2021-03-17,4,742,762,0.973753280839895
2021-04-14,1,8875,8978,0.9885275116952551
2021-04-14,2,946,955,0.9905759162303664
2021-04-14,3,730,736,0.9918478260869565
2021-04-14,4,560,582,0.9621993127147767
2021-04-28,1,10430,10547,0.9889067981416516
2021-04-28,2,1055,1070,0.985981308411215
2021-04-28,3,895,899,0.9955506117908788
2021-04-28,4,762,782,0.9744245524296675
2021-05-12,1,9765,9876,0.9887606318347509
2021-05-12,2,1004,1018,0.9862475442043221
2021-05-12,3,845,854,0.9894613583138173
2021-05-12,4,656,676,0.9704142011834319
2021-05-26,1,9027,9151,0.9864495683531854
2021-05-26,2,1007,1022,0.9853228962818004
2021-05-26,3,734,739,0.993234100135318
2021-05-26,4,630,650,0.9692307692307692
2021-06-09,1,8663,8775,0.9872364672364672
2021-06-09,2,982,1000,0.982
2021-06-09,3,765,772,0.9909326424870466
2021-06-09,4,612,634,0.9652996845425867
2021-06-23,1,8499,8626,0.9852770693252956
2021-06-23,2,940,962,0.9771309771309772
2021-06-23,3,672,683,0.9838945827232797
2021-06-23,4,634,656,0.9664634146341463
